Movie,Lists,Tags,Description,Wikipedia,Average Rating,Comments
And Then Came Lola (2009),"Films Directed by Women; sapphic films directed by women; wlw; Time Travel, Time Loop, Time, Alter the Timeline; LGBTQI Gay - Lesbian Themed (Related) Movies; let's go lesbians let's go",Comedy; Romance; Drama,"A talented, but distracted photographer, Lola, on the verge of success in both love and work, could lose it all if she doesn't make it to a crucial meeting on time. But, as usual, Lola is late. With her job and girlfriend on the line, she has three chances to make it right. In a desperate race through the streets and back rooms of San Francisco, time grows short-will Lola make it? Will she come at all? With a pop sensibility that mixes live action, animation and still photography, And Then Came Lola explores love's age old question in a fresh new way, ""If you try, try again, will you finally get it right?"" (Written by M. Siler and E. Seidler)","Lola is a photographer, who is ready to take things to the next level with her new girlfriend, Casey. Lola sets out to run an errand for Casey, involving delivering some crucial prints for a business meeting with Danielle, who is also Casey's ex. Lola runs out the door, and what follows is a series of high-speed encounters and obstacles that threaten to keep her from her destination. These encounters run the gamut from the mundane to the unlikely, sometimes repeating themselves with different results, each presented using different cinematic techniques that control the mood and pace.",2.41,"★★★★★ 5 stars cause my school guidance counselor is the star dyke of this <3333
★★ It’s like high school all over again. I’ll watch anything with girls kissing.
Take a bunch of supermodel lesbians and cheaply homage Run Lola Run , which wasn't even that good to begin with, and burden it with relationship counselor sessions and vapid lessons about some cishet idea of queer monogamy, and just make it as petty bourgeois as possible, and here you are. This trash .
Pride month: 15/30 52 project: 52/52
★★ Why didn't she call a cab?
★★½ pretty bad movie objectively but like EVERY dam character in this is a lesbian like when have u ever ?!?!?!
★★ cute best part was all the background lesbians. love me a good lesbian only universe
★★★★ Why is everyone hating, it’s just a silly movie about a bunch of hot lesbians
★★ so repetitiveeeeee
but i don’t think i saw a single straight man in it though so that was nice!
★★½ Watching a girl running from one part of the town to another once was interesting, to say something. Watch the same thing all over again became a bit tiring, but watch it THREE TIMES IN HALF AN HOUR, dude, that's just painful. I feel like they could just make a short film out of this and it would have worked much better.
★½ at least she came
★★ Ummm okay, so I have alot of thoughts. The best thing about it is I think this is the MOST amount of queer casting given to queer actors to come out of 2009. For a year that was extremely unaccepting it's honestly pretty ballsy to do that, there aren't any straight actors or characters in the entire movieThe entire film is an Homage to Run, Lola, Run! A film that I have not seen but I can promise you that it is better than this. Other than some interesting Scott pilgrim esq gags + animation (I'm using this in the loosest terms) and the occasional joke that lands there really isn't much to take in here, the film frequently cuts…
★ Weird how so many lesbian movies make the protagonist super shitty and then expect you to like her by the end like???"
Former East/Former West (1994),"Solidarity Cinema Archive; UbuWeb MASTER LIST; Real Lives, Real Women: Documentaries About Women",,"Made up of hundreds of street interviews done in Berlin two years after the Reunification, Former East/Former West is a vital, surprisingly open, and at times disturbing documentary about what it means to be German at this particular moment in history.",,,"Fiebertraum
Shoutout to me for being the first one to review this. This is an interesting perspective on a historical event I don't know much about. How long will I be the most liked review? That's up for you to decide.
Reading the description, you pretty much know what you're getting here. There's some editing emphasis toward movement through the former Wall and on indicators of capitalism, but most of this is more about what's said than about formal flex. Certainly things are problematic, but context differences notwithstanding, is the 2024 United States really very different? Stuff still sounds so familiar today.
Freely available on e-flux during January."
Death App (2018),Found Footage,,Guilherme gathers his friends for a group video call. He has a proposal to make money on the internet. But the deal went down the drain when they realized the demon is using technology to act.,,2.0,"o estagiário da prime colocando no catálogo sem querer
½ a vdd sobre marketing digital
“isso é satanismo seu animal!”
½ Scorsese viu isso e falou “that is synema”
½ a diva sendo morta por um lençol (?) verde de flor 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
★★★★½ Ainda estou aqui sonha em ser assim, o cinema nacional merece mais valor!
passei mal de tanto rir
½ A MORTE DA TIDINHA NAO TO BEM AKAKAKAAKKAKAKAKAKAKA
nossa mas eu ri tanto
★★★★★ QUE PORRA É ESSA? KKKKKKKKKKKKKKKKKKKKKLLJKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK
★ como eles terminam de editar isso e tiveram coragem de lançar eu não sei, mas é muito engraçado KKKKKKKK
½ nem o martin scorsese teria tanta genialidade
★★★★★ Guilherme é um brasileiro médio que foi iludido pelo marketing digital, colocou os amigos no meio disso e sofreu as consequências. Definitivamente é uma obra brasileira."
Mars' Stepson (1914),Every Animated Film Made from 1878 – present.; A Comprehensive Animation List; Great Big List of Classic Cartoons,,,,,
All That Punk (2023),The DEFINITIVE ‘Punk Rock’ (and Punk adjacent) Films List,,"By definition, punk is a subculture, alternative culture and youth culture based on the interaction of cultural elements different from the elements of popular culture and other sub-genres.It has its own distinctive music, ideology, dress code, visual identity, dance, literature and film. Punks are mostly young people with a different opinion, who in common have the spirit of anti-establishment and non-recognition of the canon. As a musical direction, it existed in full swing in the 70s and 80s of the last century, exerting an influence on the rock scene of that time. How did appear in ex-Yugoslavia? What were the ""hotspots""? Did he pose a danger to the state and socio-economic system of that time? Can one see punk as a way of life?",,2.0,"тел авив панк
“Najveća lepota panka je u tome što je, u stvari, bio bajka”
Sledeći cilj: da dokumentujem novije pank bendove u vidu kraćeg filma nalik ovom
Nedostaju neki ljudi, mnogo njih, ali kapiram da nije moguće sve okupiti, zato je i potrebno početi sa snimanjem materijala sada odmah
★★ Испричано милион пута"
Behind Walls (1999),👬 Size Isn’t Everything: A Vibrant Collection of LGBTQ+ Shorts From Around the World for Boys & Girls & Everyone in Between,,"A 16mm black & white film about Josie, a homegirl from the hood, who feels alienated ever since her brother Alex and ""papi chulo"" cousin Papo became lovers. As children, they made a promise to stay together. The promise read: ""Cousins Forever"". As adults, they share an apartment. The boys are unaware that Josie has drilled a hole on the wall. She feels that peeping is pathetic but it's the only way to feel included.",,,
The Kidnapping of Arabella (2025),Watchlist This! Our picks of the best new under-the-radar films,,"Holly spends days at her dead-end job fantasizing about holes in the space-time continuum and wondering where her life went wrong. When she meets Arabella, an eight-year-old rebel hoping to run away from her self-absorbed author father, Holly becomes convinced their meeting is a cosmic sign, and that Arabella is, in fact, her past self sent back for a second chance. The two embark on an unconventional road trip between two lost souls who might be exactly what the other needs.",,3.0,"★★★ Carolina Cavalli’s “The Kidnapping of Arabella” opens with one of the single most surprising things I’ve seen and/or heard in a movie this year: Chris Pine, swagged out in a skin-tight suit that makes him look like a yassified Nick Cave, seething with jealousy over Jonathan Franzen in seemingly perfect Italian.
As I understand it, the Los Angeles-born actor began studying the language because he wanted to be cast in an Italian film, as opposed to being cast in an Italian film that required him to study the language. Mission accomplished!
Better yet, the unexpected nature of Pine’s casting performs a crucial service for the eccentric and playfully contrived road trip misadventure in which he’s been cast: Once you accept…
½ Il rapimento è stato il mio per un'ora e 37
★★★ “Evviva👏🏻👏🏻👏🏻👏🏻che bello👏🏻👏🏻evviva👏🏻👏🏻👏🏻👏🏻”
★★★★ i trampolini da tuffi son stati inventati per permettere a carolina cavalli di poterci far sdraiare le sue protagoniste
★★★★ What if Roy Andersson made “Thelma & Louise”?
★★ chiamare un bambino topper è un altro tipo di devianza mentale (a meno che a sceglierlo non sia stato bruno barbieri)
★★★½ god forbid a girl goes a little insane
★★★ Zerocalcare stava seduto giusto di fronte a me e mi ha pure dato una gomitata sulla gamba
★★½ mai un nome normale in sti film, un andrea un marco, lucia, maria. No GRANITINA e TOPPER
★★★½ VENEZIA 82 #6

Come interpretare il cinema di Carolina Cavalli? Di certo, con la sua opera prima “Amanda”, aveva saputo raccontare con un certo piglio e originalità il disagio giovanile attraverso il racconto di una (semi)amicizia tra due giovani ragazze. Anche la sua opera seconda parte da un legame occasionale che muta diventando conflittuale e poi del tutto indefinito e indecifrabile. Le due protagoniste, Holly e Arabella, hanno bisogno l’una dell’altra per raggiungere i propri bisogni comuni, ossia la fuga. Una dal padre severo e incompetente e l’altra da un’esistenza misera. Ambientato in un luogo e in un’epoca imprecisati questo film mette in scena rapporti ed emozioni quasi indecifrabili, incerti e minimali, come se fossimo di fronte a una versione…
★★★★½ Se non ti ha gasato forse non possiamo essere amici
★★½ “They appeared out of nowhere just to give me a hard time.”
2026 Watch Series: Around the World in 365 Days: Entry 403 (Italy 🇮🇹 Film #24)
The film Il Rapimento di Arabella / The Kidnapping of Arabella is set in northern Italy where imagination and perceived existence clash with one’s hopes and dreams coming into conflict as Holly (Benedetta) and Arabella ( Lucrezia Guglielmino ) go on a Paper Moon style road trip that ultimately proves itself unsustainable because neither adventurer can accept the reality that they are each telling lies to one another. The film's metaphors, which comes across in the finale, tie up nicely with a strong analogy: I don’t think any one of us wants our blind date to…"
Perfect Creature (2006),Random Movie Roulette; All-nighter watchlist; 💩 The Crappy Guide to “So Bad It’s Good” Flicks 💩; Every time I take a shit I'll add a random movie to this list; All the films mentioned in Kim Newman's Nightmare Movies,"Fantasy; Drama; Action; Horror; Science Fiction; Thrillers and murder mysteries; Bloody vampire horror; Creepy, chilling, and terrifying horror; Thought-provoking sci-fi action and future technology; Intriguing and suspenseful murder mysteries; Suspenseful crime thrillers","The vampire myth is given a stylish 1960s treatment, where a human cop partners with a vampire cop to stop a vamp bent on creating a war between the two ""separate but equal"" races.","In a world where males born as vampires join the Brotherhood and drink donated blood from human churchgoers, rather than being killed at birth as in the past, a pregnant woman gives birth to a vampire. A teenaged Brother, Silus, is told that he and this child, Edgar, are from the same mother. The mother, who is in visible distress, reaches for Silus across the room.

A hundred years later, the Jamestown slum sees a series of attacks on women, all found with their throats bitten. Lilly Squires leads the human police in investigations. She comes from a workhouse in Jamestown and is one of the few cops who care about the slum residents. A boy who witnessed an attack tells her a Brother was responsible. To avoid public panic, the police claims the deaths result from an outbreak of influenza, which is seen as one of the evils that came from genetic research.

Church cardinals ask Silus to work with the human police. The Brothers know the attacks were carried out by a Brother: Silus's brother, Edgar. Edgar sends Silus a recording of his last murder, challenging Silus to stop him before he kills again. Edgar includes the location of his next planned murder. With Silus's help, Lilly puts together a task force to stake out the area. Edgar attacks Lilly and bites her before fleeing. To save Lilly, Silus tells her to drink his blood. When he visits her in hospital, it is revealed that she lost her family to influenza. Lilly has visions from drinking Silus's blood. The newspapers publish a false story of the death of the killer.

Edgar is restrained in a spiked brace in the church basement. Silus, who is soon to join the ""inner circle"", is told what happened to Edgar. The cardinals, worried that no Brothers have been born in 70 years and no female vampire has been born ever, conduct genetic research, which they publicly ban. Edgar has been developing a virus to make pregnant women give birth to vampires. The virus mutated and turned the women into violent psychopaths. Ten of his research subjects are dead, and the last one is dying. Edgar is also infected and insane, although the virus is taking effect more slowly due to his immune system. He vows to kill Lilly and accuses Silus of being in love with her, as Brothers are forbidden to love.

While Silus is at the church for his investiture as a cardinal, Edgar escapes to Jamestown. He installs a tap and tube system into his forearm to control the flow of his blood. At Lilly's apartment, Silus and her colleague Jones guard her. Silus imagines kissing her as she sleeps. Edgar bursts through a window and knocks out Silus long enough to take Lilly. Meanwhile, the government institutes a quarantine after the virus spreads throughout Jamestown, and humans riot outside the churches.

Silus finds Edgar tainting Jamestown's water source with his blood. However, each suburb has its own water supply. Another cardinal tells Silus that Jamestown will be burned to the ground to destroy the virus and Edgar. He warns Silus his career will be doomed if he ignores the ""greater good"" and breaches quarantine to save Lilly. Silus breaks into Jamestown anyway. Lilly, handcuffed in the basement of the aquifer, tries to persuade Edgar to stop. He challenges her about her dead child and says her race is good at abandoning children. He finds Silus, and they fight. After injuring Silus, Edgar threatens to disfigure him. Lilly sneaks up behind Edgar and kills him.

Silus kisses Lilly and tells her to look after what she finds in a building and to keep it away from the Brotherhood. Inside the building, Lilly finds another Brother, a dead woman, and a baby. The Brother says that the infant is the first female vampire ever born, created by the virus: the first Perfect Creature. Although Silus is branded a heretic and remains in hiding, he watches over Lilly as she takes care of the baby.",2.79,"★★★ Hey did you know that What We Do in the Shadows isn’t the only vampire film Aotearoa/New Zealand has to offer? Cause somehow, despite being a kiwi vampire lover, I’d never heard of this film till this week when Daniel suggested I find a vampire film for us to both review. I entered this with fairly low expectations (and missing my usual red wine I tend to pair with vampire films, which was a shame, though I did have a small Jäger to make up for it), having zero prior knowledge beyond a cursory glance at the letterboxd page for this film and recognising Robbie (of Wentworth and Shortie fame) from the cast list.
Okay so to start off, I…
★★½ Take a genetic disorder that creates vampires that get adopted into a secret brotherhood who swear never to  hurt humans
Mix in a steampunk inspired dystopian world
Drizzle in a surprise vampire who says fuck that Humans are back on the menu boys!
And you the New Zealand action horror film Perfect creatures.
As you know I made a pact with user Brie (surprise surprise it’s about vampires) to watch the modern slasher thanksgiving (which was sooo good) and in turn she got to choose what film I have to watch and rate. She chose this film which I had never seen. I watched the trailer and instantly was excited to see what this was all about. Long story long,…
★★½ Paints a pleasingly Gothic tone, yet manages to feel more like a TV pilot with open-ended storylines rather than a well rounded movie.
★★★ Fun little cheap steampunk/vampire mashup. The sum is better than its budget. If only more movies could say the same!
★★ April Fool… of fear: Daily Horror Hunt #22- April Horror14. Watch a horror with the word Creature in the title This immediately brought to my mind the tv series ' Sanctuary ' (which I liked way back when). This, as a feature film, not so much... If it was actually the pilot for a series, I'd probably keep watching just to see where it went. There's enough unanswered plot threads to do it and possibly make it interesting for 1 season.
★★★ bite me silus idc just bite me🫦
★★½ This flick looks like a pilot to a TV series. It's more action than horror, like Underworld. It happens in the future, but the future in the movie seems old. There's blood, but not much. An average movie.
★★★ Honestly.... kind of alright. Like the sort of ""alright"" i kinda want more of. Don't get me wrong, this is a very mid tier movie BUT i really like the vibe it was going for, and despite feeling quite incomplete and a little rushed, I kinda felt like enough effort was put in to make it quite charming. You can see this working ya know? There IS something here and it's sort of a shame it doesn't quite figure itself out by the end. It does REALLY feel like a show pilot which doesnt bother me really but does make me wish this had more to offer.
★★½ An Underworld rip-off that sets itself in some vague time in the past in an attempt to be less obvious that it’s a rip-off. It was so bland that I couldn’t even dislike it. It was just something that was in the room at the same time I was.
★★½ Kiwi Kult: Volume 1 — In the Dark
This vampire flick from New Zealand attempts to do something different with the lore, and it's mildly successful in that aspect, but ultimately, it plays like a failed TV pilot. Much of that can be attributed to less-than-stellar direction and heavily dated CGI effects. But a comatose lead performance from Dougray Scott doesn't help much. There are minor pleasures to be taken here, but unless you're diehard for vampires, I wouldn't go out of my way.
• So You Think You Know Horror? — Every Horror and Horror-Adjacent Film I’ve Seen
• Size Matters! — My Movie Collection (or, I’ll Show You Mine If You Show Me Yours…)
★★★★½ why is this movie not a cult classic?!
★★½ Doesn’t do much wrong other than not being very interesting, which is disappointing because the world and lore is different from anything I’ve seen so far. Just couldn’t get invested."
Spooky Bats and Scaredy Cats (2009),🎨✨ Stop-Motion; Films that Celebrate the Holiday of Halloween,,"When Katie and Makean delay their trick or treating to deliver the Candleman's Halloween Party invitations, they find themselves caught up in a spooky adventure filled with macabre monsters.",,3.91,"★★★★ Under the radar Halloween special about a couple of trick-or-treaters who learn to have courage when tasked with delivering invitations to local monsters. The story is pretty slight and there's a ridiculous knockoff Jack Skellington song but this one's mostly about the visuals. It's an incredible looking mix of stop motion with CG animation backgrounds and it's fully loaded with Halloween imagery throughout.
★★★½ i cant believe disney sends out hunter-killer drones to rain fire on any mom n pop daycares with a buzz lightyear painted on the wall but never touched this hilariously shameless bite of nightmare before xmas - seriously u gotta hear the fake danny elfman voice ""HALLO-WEEN! HALLO-WEEN!"" song in this
besides all the plagiarism this is an actually decent ol'fashioned stopmotion ghoul hoedown kinda like MAD MONSTER PARTY where all the classics (mummy, frankenstein, big-nose witch, scarecrow, zombie, really dope swamp creature) get drunk & party together - most scenes are saturated w/ bittersweet creepy-fun halloween vibes and its like 27 minutes so its p much essential mood viewing right now
watch here www.dailymotion.com/video/x28oefk_spooky-bats-and-scaredy-cats-a-halloween-tale-2009_shortfilms
★★★★ Belly full of pumpkin stew, decorations on, pumpkin lit up, eating a slice of pumpkin pie watching this thoroughly charming stop motion animation. Perfect way to start Halloween!
Wishing you all a wonderful day :)
★★★½ Borrows heavily from The Nightmare Before Christmas and Mad Monster Party, even including a Danny-Elfman-esque 🎶banger.🎶
But that’s not a problem for me. I love blatant knock-offs, sometimes more than the classics they’re trying to emulate.
But there’s something missing here that I can’t quite put my finger on. Maybe it needed to be zanier? I think a little extra silliness would have gone a long way… Still, there’s solid, wholesome, Halloween fun to be had here. It’s just not one I can see myself returning to year after year.
★★★★★ i distinctly remember owning this movie on dvd and watching it repeatedly as a kid, yet no one else seems to know of its existence. turns out it is very much real and is in fact one of the best halloweenie movies ever made.
★★★½ this is some nostalgic fever dream shit like a hybrid of robot chicken, james and the giant peach and like paranorman
★★★★★ Best film ever made
★★½ A cool little stop motion short about a brother and sister tasked with delivering party invitations to the guests of a Halloween party.
The fantastic animation and design keep this interesting but it's pretty thin and has music that is clearly done in imitation of better films. A good time though.
I was simultaneously terrified of and in love with this when I was younger.
★★★★★ wouldn’t be halloween without rewatching this hidden gem of a movie.
★★ Went to a Halloween river cruise with friends a couple years back and THIS was playing on a TV in the middle of a dark forest while we waited. 💀 Glad to finally see the full thing. 🧡🖤
★★★★★ idc this is my favourite film"
Mujhse Dosti Karoge! (2002),Bollywood,,"A man falls in love with his childhood friend, but another friend is the one who reciprocates his feelings.",,3.0,"★★★½ this was all cute and fun until raj turned into a manipulative psycho
★★★★½ i am impressed, that he teached her his weird church song by email. like what did that mails look like“ he he hee he he he he heee??“ 🤨
in the medley, they sing ""kaho na pyaar hai"" from the film kaho na pyaar hai, meaning the film kaho na pyaar hai (starring hrithik roshan) exists in this universe so why does no one notice that raj (played by hrithik roshan) looks EXACTLY like famous bollywood actor hrithik roshan
★★½ I enjoyed how during Hrithik’s moment of clarity, there were just several cuts to Jesus on the cross for some reason.
not them trying to convince us that rani mukherji is ugly like what
★★½ Why is this movie obsessed with gobi parathas?
i am well aware the plot of this is garbage but any late 90s bollywood movie where there’s a sequence of pretty people dancing in front of the swiss alps is so comforting to me
★★★½ raj isn't like the other boys he's so quirky for loving gobi parathas
★★½ totally generic but that's kinda the point, to just check out of your life for 2.5hrs and pretend it's normal to exist in a world where rani is the ugly one and everyone is absurdly rich and oblivious and wears the most cursed fashions while they cry and yell and keep secrets and have awkward conversations that dance around the secrets and make stupid decisions and sing songs until everything works out in the last minute. highlight of this is definitely when the whole bollywood romcom universe collapses in on itself for a long wedding medley of songs from other bollywood romcoms, some of which starred the actors who are in this movie, a proud admission that what they're doing…
★½ had potential in the first half before the mc devolved into an actual villain 😭
★★★½ Pooja the og catfish
★★★ Raj’s so controlling and manipulative, Pooja’s a trifling bitch, Tina’s the real victim."
Diary of a Mad Old Man (1962),The Most Comprehensive List of Japanese Movies Ever...Maybe; Films featured on worldscinema.org; The Uncomfortable Truth: The History of Black Comedy; Rarelust Complete List; Japanese Cinema Log,,"Utsugi, a seventy-seven-year-old man of refined tastes who is recovering from a stroke, discovers that, while his body is decaying, his libido still rages on -- unwittingly sparked by the gentle, kindly attentions of his daughter-in-law Satsuko, a chic, flashy dancer with a shady past. Pitiful and ridiculous as he is, Utsugi is without a trace of self-pity, and his diary shines with self-effacing good humor.",,3.59,"★★★★ If I was old, a little depressed, and mostly confined to a single room, I too would get obsessed with Ayako Wakao’s legs.
★★★★ Brief Synopsis: A physically impaired older man (Sō Yamamura) is consumed with lust towards his knowingly flirtatious daughter-in-law (Ayako Wakao). -- Verdict: This adaptation of a novel by Junichiro Tanazaki, one of Japan's most lauded authors, is a predominantly humorous tale of late-life foolishness which smartly undercuts its black subject matter with shards of realistic comedy and sadness. The film's lusty protagonist, nearing the end of life, is a pathetic figure who is afforded a degree of sympathy as he degrades himself literally at the feet of a young woman (the lovely Wakao) who knows exactly which buttons to press to achieve her materialistic goals. The weighty topics of 'sex' and 'death' are inextricably linked in a well acted and beautiful looking film which is thoughtful and wry and, despite the temptations of the subject matter, never descends into tackiness.
★★★½ Pretty sure if either Luis Buñuel or Quentin Tarantino have seen this movie, they wet themselves.
★★★★ Certainly more memorable than the novel. But way more about social class and the juvenile privilege of wealth than struck me the first time I watched this.
★★★ This is the first Kimura Keigo’s movie I’ve seen, and I’m really interested in and looking forward to exploring his filmography in the near future. He worked with some big names in the 1950s and 1960s such as Kyō Machiko, Wakao Ayako and Mifune Toshirō, but seems to have become an obscure and not well-known director nowadays. Obscure in that most of his movies are available here in Japan only on DVD or VHS, that is, not on streaming services, and as far as I know, his work are rarely screened. As for the Diary of a Mad Old Man itself, unfortunately I haven’t read Tanizaki’s short novel which the film is based on, so I can’t really compare the…
★★★½ Wealthy old man, who finds his wife no longer attractive, the object of his lust has shifted to his obsession with his young daughter-in-law. He showers her with extravagantly expensive gifts, including a gaudy ring, that he hides from his ever-suffering wife, who seems to be well aware of her husband’s doing. Only sexual and fetish desire is keeping him alive.
★★★ Three themes accurately depicting this movie (as per wiki) : foot fetishism, modernisation of Japanese women and vicarious sexuality.
I am a big fan of reading Junichiro Tanizaki books by now and to explore the range of themes like depictions of sexuality and destructive erotic obsessions to subtle portrayals of the dynamics of family life within the context of the rapid changes in 20th-century Japanese society—encapsulates the “snowballing” of traditional Japanese culture and behaviours with modernisation.
And to make matters worse or better (depends), Ayako Wakao plays the sexy vixen.
(glad I could recover my letterboxd profile, I’ll try to be more active here) im in my kanye phase.
★★★★½ One of the most unique films I've ever seen. It's not that the director have gone over the top trying to make it odd through extravagant technical profligacy, but rather that the story and the atmosphere between the two main characters sum up to a very powerful cinematic experience of epic authenticity. Wakao is, as usual, flawless in her role as the manipulating vixen.
See the ranking of this film and all others I've seen this year here!
★★★½ Sexy sexy elder abuse
★★★½ I've long been a fan of Junichiro Tanizaki, so I was happy to learn that there was a film adaptation of his novel Diary of an Old Man by Keigo Kimura. Even better, it stars the irrepressible Ayaka Wakao as the object of lust, Satsuko, for the old man (So Yamamura). It is essentially about sex and death, perhaps, in a more comedic way in the film (I don't remember the novel well). The interlude in Kyoto in the later part of the film has some nice on location scenes as well. Wakao would go onto star in another Tanizaki adaptation, Manji in 1964, as well as Irezumi in 1966 with frequent collaborator Yasuzo Masumura as well. (They would make 20 films together).
★★★ Diary of a Mad Old Man, Keigo Kimura's provocative adaptation of Junichiro Tanizaki's novel, follows an ailing old man obsessed with his young, flirtatious daughter-in-law, particularly her legs. In comparison, the leg fetishes in Buñuel and Tarantino feel like childish fantasy; here, the obsession is raw and psychologically charged. Uncomfortably funny and satirically perverted, the film has a bravery that feels uniquely Japanese in its unashamed presentation. Its psychological depth transcends its pinku elements, touching on an uncomfortable reality where aged men often pursue much younger women. Ultimately, the film appears to suggest that love and money truly do conquer all.
1962 Movie Ranking: From Best to Worst
Watched this by accident"
Dinner For Two (1996),Written by Women,,"Frogs, birds, lizards, a snake, alligators, and a lot of insects inhabit a pond; everyone's ready to eat. Two tenacious lizards catch the same fly, inciting a protracted tug-of-war.",,3.75,"★★★ Those two goofy ass lizards should just kiss already lmao🦎🦎🪲.
★★★★ Short Takes - An NFB short I watched on a short flight home.
Simply charming.
The uncomplicated parable of sharing is made so much more by brilliant animated characterizations. Each shot is simply delightful, and you can't help but smile.
Watch it here
★★★ Funny, but the ending was a bit disappointing.
Part of my effort to watch at least one short film per day. Here is the list I am currently working through, with a random number generator determining the film each day. I will take recommendations for everything that's 40 minutes max.
Greed, ambition, stubborness, envy... all those qualities you love to see in lizards
★★★★★ I love love
Watched as part of big rat movie night
had to watch this for a post-conflict resolution class, the animation is lovely ..still don't know what the sunflower headed guy was all abt tho
lady and the tramp
This is what trying to eat the last slice of cold leftover pizza for breakfast the next morning before your siblings is like. Minus the ending.
★★★½ And dinner was served…
Made me ribbit, not going to lie.
TMA 492 7/10 Films
P.S. I would do the same if I were in this situation.
★★★½ *ribbit*
Where is my mediating frog when I need one?
★★★ was hoping for a different ending
★★★★★ I like how all the animals look like they've never had a thought in their lives"
"Separate We Come, Separate We Go (2013)",Teenage Wasteland: A Comprehensive List of Coming-of-Age films; Written by Women,,"Separate We Come, Separate We Go is the story of a 10-year-old girl, Thea who escapes her bleak domestic life to find sanctuary in the surreal desert landscape of Dungeness. Roaming around the barren skeletons of boats and abandoned fishing huts, she is increasingly aware of her loneliness and vulnerability. Seemingly out of nowhere a man (David Thewlis) appears; she is so intrigued by him she defies all lessons taught about strangers and approaches him. As they walk and talk she discovers he is a widower and has lost his son; she realises she is not alone in experiencing loss. He notices her sadness and unusual maturity and decides to help lift her out of her melancholy. Through the metaphor of the freedom of flying birds, he shows her that life does have exciting possibilities. This redemptive story shows that in life you should not allow fear to limit your horizons.",,3.14,"nothing happens but it's wholesome and david thewlis isn't evil
★★ Would like to meet gentle beach-dweller knit-sweater-wearer David Thewlis.
★★★★★ David thewlis makes me swoon so hard I’ll literally watch anything that he’s in but the fact this is directed by Bonnie wright (aka miss Ginny Weasley) makes this 100x better
★★★ Don't talk to strangers unless it's David Thewlis in a cozy sweater.
★★★½ david thewlis father figure i love you
Not bad for a directorial debut, innit?
Backyard approves.
🔇AY🔇SHE🔇STILL🔇HAS🔇YOUR🔇SWEATER🔇
★★★ We've lived in a Paedogeddon! society (thanks Chris Morris) for the last twenty years or so. Captain Birdseye, once an avuncular, bewhiskered grandfather figure to pre-pubescent shipmates in a decades-long ad TV campaign, is now a designer-stubbled male model and older brother figure who captains a crew of twenty-something hipsters. Likewise, the grandfather is conspicuous by his absence in the Werther's Original adverts, and so is the grandchild who would previously be found sat upon the old man's lap, making only pleasant and fond memories.
It's refreshing therefore to see Bonnie Wright's short film focusing upon a young girl befriending a middle-aged stranger in Dungeness. It's reminiscent of less cynical times and, right now, that kind of hit the spot for me. It's a rather slight short, but it doesn't matter; it's a very sweet little film and you can watch it on YouTube .
Number 100 in my 52 films by Women in 2019 challenge
★★½ meaningful message and all but stranger danger but it’s remus lupin so it’s fine..
The things I watch for David Thewlis.
i just love david thewlis so much mann
★★★ You would never see me step foot inside a strange man‘s house (unless it‘s David Thewlis)"
